epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,542.191,1.11358,0.85033,1.41908,0.88276,0.78277,0.88516,0.44181,1.64679,0.82647,1.87337,0.003664,0.003664,0.003664
66,550.448,1.10971,0.84008,1.41054,0.8616,0.78713,0.85156,0.43769,1.6606,0.81112,1.88402,0.003565,0.003565,0.003565
67,558.944,1.11593,0.84041,1.41297,0.88486,0.79894,0.86495,0.43306,1.61979,0.82072,1.86762,0.003466,0.003466,0.003466
68,567.518,1.09338,0.83013,1.40114,0.91587,0.76733,0.87232,0.39153,1.82903,0.82955,2.07751,0.003367,0.003367,0.003367
69,575.702,1.08517,0.82888,1.39087,0.89209,0.77723,0.8693,0.46517,1.54682,0.78597,1.82563,0.003268,0.003268,0.003268
70,584.213,1.08672,0.82907,1.39311,0.88951,0.79712,0.89252,0.45192,1.58912,0.80455,1.84685,0.003169,0.003169,0.003169
71,592.476,1.09402,0.84165,1.40862,0.87106,0.80266,0.86136,0.41324,1.71958,0.84811,1.95602,0.00307,0.00307,0.00307
72,601.31,1.08129,0.81194,1.40785,0.90579,0.77723,0.86717,0.47648,1.51073,0.76714,1.77287,0.002971,0.002971,0.002971
73,609.647,1.07847,0.82601,1.38796,0.82599,0.82673,0.8507,0.4137,1.74214,0.83689,1.95945,0.002872,0.002872,0.002872
74,618.193,1.08432,0.81303,1.39707,0.92008,0.79793,0.87486,0.4667,1.56253,0.7778,1.84235,0.002773,0.002773,0.002773
75,626.396,1.07695,0.80517,1.39014,0.81849,0.82178,0.86507,0.44865,1.56894,0.78184,1.85495,0.002674,0.002674,0.002674
76,634.898,1.07976,0.80623,1.38394,0.86623,0.80198,0.85877,0.42949,1.64176,0.81245,1.89951,0.002575,0.002575,0.002575
77,643.323,1.04993,0.78311,1.38511,0.88559,0.80693,0.87058,0.45803,1.54165,0.79037,1.81543,0.002476,0.002476,0.002476
78,651.454,1.03692,0.76871,1.35917,0.88806,0.78218,0.85848,0.45323,1.54856,0.7959,1.82939,0.002377,0.002377,0.002377
79,660.089,1.05581,0.80436,1.38382,0.83401,0.78218,0.81824,0.36777,1.86974,0.86549,2.13738,0.002278,0.002278,0.002278
80,668.567,1.0341,0.77744,1.36131,0.87038,0.83168,0.86765,0.44587,1.58455,0.79743,1.87205,0.002179,0.002179,0.002179
81,676.811,1.02168,0.77983,1.36011,0.84545,0.80198,0.85811,0.43776,1.62186,0.80016,1.86069,0.00208,0.00208,0.00208
82,685.392,1.03179,0.75849,1.35702,0.86904,0.80198,0.86034,0.46787,1.47956,0.77718,1.7772,0.001981,0.001981,0.001981
83,693.807,1.02348,0.77401,1.34868,0.85311,0.84158,0.87709,0.465,1.53441,0.80101,1.81216,0.001882,0.001882,0.001882
84,701.922,1.04382,0.76919,1.35996,0.87268,0.84827,0.89831,0.46368,1.55854,0.75784,1.80892,0.001783,0.001783,0.001783
85,710.637,1.03856,0.76289,1.36406,0.88485,0.82178,0.86615,0.46604,1.59327,0.79205,1.8498,0.001684,0.001684,0.001684
86,718.964,1.00892,0.76205,1.34152,0.86469,0.84158,0.86672,0.47603,1.52705,0.75075,1.83129,0.001585,0.001585,0.001585
87,727.374,0.99648,0.74456,1.34451,0.84438,0.85149,0.88181,0.48512,1.48819,0.75843,1.77608,0.001486,0.001486,0.001486
88,735.971,0.99406,0.7389,1.34569,0.861,0.82178,0.881,0.47652,1.51956,0.75184,1.80475,0.001387,0.001387,0.001387
89,744.571,0.99245,0.72359,1.33678,0.89716,0.82057,0.87943,0.46335,1.56696,0.77022,1.82945,0.001288,0.001288,0.001288
90,752.851,0.98422,0.72855,1.3393,0.8629,0.84128,0.88904,0.46335,1.56256,0.77254,1.81882,0.001189,0.001189,0.001189
91,775.803,0.95986,0.61929,1.39975,0.86885,0.80693,0.85787,0.43995,1.57273,0.78705,1.85958,0.00109,0.00109,0.00109
92,784.055,0.91351,0.55791,1.35386,0.86547,0.83168,0.87181,0.46545,1.53082,0.7766,1.82116,0.000991,0.000991,0.000991
93,792.167,0.90406,0.54519,1.34572,0.88688,0.81508,0.86449,0.45804,1.50608,0.75924,1.80781,0.000892,0.000892,0.000892
94,800.497,0.89078,0.53435,1.33935,0.89108,0.81683,0.88724,0.48091,1.48505,0.72537,1.78783,0.000793,0.000793,0.000793
95,808.823,0.88158,0.53852,1.33621,0.87474,0.8297,0.89008,0.49684,1.47967,0.71969,1.78281,0.000694,0.000694,0.000694
96,817.106,0.86884,0.52044,1.31589,0.90475,0.80693,0.89408,0.48348,1.50604,0.72957,1.80777,0.000595,0.000595,0.000595
97,825.808,0.86861,0.52869,1.32991,0.90577,0.80892,0.89545,0.48949,1.46687,0.72546,1.76616,0.000496,0.000496,0.000496
98,834.213,0.85551,0.52103,1.31879,0.9212,0.81025,0.89922,0.47799,1.49615,0.71798,1.80648,0.000397,0.000397,0.000397
99,842.392,0.8496,0.51274,1.30677,0.90581,0.80931,0.89107,0.48411,1.47761,0.72036,1.78424,0.000298,0.000298,0.000298
100,850.819,0.8457,0.50017,1.30696,0.92098,0.81188,0.89512,0.48336,1.47869,0.71417,1.78983,0.000199,0.000199,0.000199
